,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
42,0.747,0.824,0,-2.316,1,0.0738,0.0283,0.0,0.0792,0.628,166.005,167800,4,0,4KnLltd5UNz4c085UAr5dR
43,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,216107,4,0,7ndTONDDRFGiPnnhOzOXxq
44,0.782,0.652,6,-4.602,0,0.0649,0.154,0.0,0.121,0.579,91.992,176000,4,0,68Oy57uVLa2uZdWcYNi6M4
45,0.702,0.758,9,-4.405,1,0.278,0.14,0.0,0.111,0.837,167.915,188598,4,0,1ZN2Dat0KrO0xqr9t8QP9r
46,0.54,0.508,7,-7.868,0,0.29,0.522,1.13e-05,0.0755,0.653,82.606,203137,4,1,0K3dGPXHVALEqW8EEQGc3T
47,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,130014,4,0,5RubKOuDoPn5Kj5TLVxSxY
48,0.851,0.776,6,-3.254,1,0.0561,0.12,0.0,0.1,0.804,95.995,209905,4,0,7MoZgM6AsQaZw14WnKopuy
49,0.677,0.579,7,-5.715,1,0.185,0.428,6.28e-06,0.15,0.448,175.904,155390,4,0,09HSL5vRZgxXmoSrDVKMDB
50,0.741,0.558,11,-6.029,0,0.229,0.306,0.000327,0.1,0.265,179.972,188955,4,0,0iWxrdjwEGOrTC9AszgAJk
51,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496,4,0,2dNhNlpZAtV4lwAFW45LIv
52,0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891,4,0,2TksvaRivgAEj780DgRB73
53,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005,261667,4,0,7Bk0uXKk1uPT0XuQbpFzvs
54,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4,0,2FSGUA0gFgGeQdprjtGM2M
55,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4,0,1xK1Gg9SxG8fy2Ya373oqb
56,0.775,0.645,6,-5.236,1,0.067,0.212,0.0,0.127,0.723,90.017,197313,4,0,6ZUGi3v66aBs8kLxJ8DsO1
57,0.773,0.64,3,-4.777,0,0.207,0.119,0.0,0.17,0.605,170.067,228720,4,0,2MaYHbpwybBOm9CrDBfChl
58,0.728,0.689,7,-5.718,1,0.0725,0.293,1.26e-05,0.109,0.431,170.089,197647,4,0,1mauYRwbpoGQX6itP2FAJC
59,0.664,0.659,10,-4.232,0,0.0873,0.0625,0.00024,0.0874,0.797,175.826,157320,4,0,5KFHrrBMyGj5MhVbZMM3ts
60,0.76,0.674,7,-4.039,0,0.0636,0.396,3.54e-05,0.0977,0.735,172.024,202307,4,0,6Et5KimMg3IXwD6lJPGmQw
61,0.786,0.899,10,-0.515,1,0.127,0.192,0.000189,0.299,0.813,90.025,216510,4,0,5u7twkeask1VIyDeNTElSU
62,0.739,0.788,1,-5.198,1,0.0731,0.0513,0.0,0.282,0.473,175.996,324426,4,0,0VWLId2RwPCno9s1cJm2Vy
63,0.752,0.819,0,-2.84,1,0.0721,0.143,0.000458,0.332,0.638,175.996,235227,4,0,7AKFB1pntnYpXYII0mlh0m
64,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4,0,2XIc1pqjXV3Cr2BQUGNBck
65,0.825,0.771,2,-2.515,0,0.0796,0.075,3.89e-05,0.093,0.929,154.001,212416,4,0,3ymdUMzgylwrSfpxdlCUWV
66,0.823,0.772,0,-4.935,1,0.0591,0.243,0.0,0.118,0.582,96.001,230728,4,0,70uX4beGHc1nQikXveOknp
67,0.878,0.713,5,-4.566,0,0.0948,0.0581,0.0,0.0822,0.615,92.028,202373,4,0,4C6BlqqMwjFzOXzqpTeoWR
68,0.811,0.794,7,-7.202,1,0.216,0.205,5.63e-06,0.667,0.872,99.942,281853,4,0,7G1o084VGIPA5TAbUSgADQ
69,0.74,0.673,0,-2.872,1,0.102,0.232,4.45e-06,0.12,0.698,180.026,198592,4,0,1bmm8qIp60aMkozpkPnxNM
70,0.839,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4,0,4jOBQxq4Ffd8DDrsN4wPOR
